#"Step"	"Potential Energy (kJ/mole)"	"Density (g/mL)"	"Speed (ns/day)"
1000	-4949.324279320439	0.9942092237748988	0
2000	-4940.860908123529	0.9942092237748988	3.08
3000	-4921.139371286519	0.9942092237748988	3.11
